PLAYER,TEAM,2026,CH 25-26,ST 25-26,2027,CH 26-27,ST 26-27,2028,CH 27-28,ST 27-28,2029,CH 28-29,ST 28-29,2030,CH 29-30,ST 29-30,2031,CH 30-31,ST 30-31,TOTAL GUARANTEED (with 2024-25)
OG Anunoby,New York,"$39,568,966","$39,568,966",GUARANTEED,"$42,500,000","$42,500,000",GUARANTEED,"$45,431,034","$45,431,034",GUARANTEED,"$48,362,068","$48,362,068",PLAYER OPT,,,,,,,"$212,500,000"
Jalen Brunson,New York,"$34,944,001","$34,944,001",GUARANTEED,"$37,739,521","$37,739,521",GUARANTEED,"$40,535,041","$40,535,041",GUARANTEED,"$43,330,561","$43,330,561",PLAYER OPT,,,,,,,"$181,509,125"
Mikal Bridges,New York,"$24,900,000","$24,900,000",GUARANTEED,"$33,482,145","$33,482,145",GUARANTEED,"$36,160,714","$36,160,714",GUARANTEED,"$38,839,285","$38,839,285",GUARANTEED,"$41,517,856","$41,517,856",PLAYER OPT,,,,"$198,200,000"
Josh Hart,New York,"$19,472,240","$19,472,240",GUARANTEED,"$20,923,760","$20,923,760",GUARANTEED,"$22,375,280",$0,TEAM OPT,,,,,,,,,,"$58,540,000"
Mitchell Robinson,New York,"$12,954,546","$12,954,546",GUARANTEED,,,,,,,,,,,,,,,,"$27,272,728"
Jose Alvarado,New York,"$4,500,000","$4,500,000",GUARANTEED,"$4,500,000","$4,500,000",PLAYER OPT,,,,,,,,,,,,,"$10,988,598"
Miles McBride,New York,"$4,333,333","$4,333,333",GUARANTEED,"$3,956,523","$3,956,523",GUARANTEED,,,,,,,,,,,,,"$13,000,000"
Jordan Clarkson,New York,"$3,634,153","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$17,726,730"
Landry Shamet,New York,"$3,080,921","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$4,762,929"
Pacome Dadiet,New York,"$2,847,600","$2,847,600",GUARANTEED,"$2,983,680","$2,983,680",GUARANTEED,"$5,373,608",$0,TEAM OPT,,,,,,,,,,"$7,639,360"
Tyler Kolek,New York,"$2,191,897","$2,191,897",GUARANTEED,"$2,296,271","$2,296,271",GUARANTEED,"$2,486,995",$0,TEAM OPT,,,,,,,,,,"$6,575,687"
Ariel Hukporti,New York,"$1,955,377","$1,955,377",GUARANTEED,,,,,,,,,,,,,,,,"$3,019,426"
Mohamed Diawara,New York,"$1,272,870","$1,272,870",GUARANTEED,,,,,,,,,,,,,,,,"$1,272,870"
Jeremy Sochan,New York,"$806,628","$778,622",GUARANTEED,,,,,,,,,,,,,,,,"$6,376,668"
Trey Jemison,New York,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Kevin McCullar,New York,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Dillon Jones,New York,"$267,022",$0,TWO-WAY,,,,,,,,,,,,,,,,"$2,622,360"
Shai Gilgeous-Alexander,Oklahoma City,"$38,333,050","$38,333,050",GUARANTEED,"$40,806,150","$40,806,150",GUARANTEED,"$63,706,720","$63,706,720",GUARANTEED,"$68,803,258","$68,803,258",GUARANTEED,"$73,899,795","$73,899,795",GUARANTEED,"$78,996,333","$78,996,333",GUARANTEED,"$400,405,256"
Isaiah Hartenstein,Oklahoma City,"$28,500,000","$28,500,000",GUARANTEED,"$28,500,000",$0,TEAM OPT,,,,,,,,,,,,,"$58,500,000"
Luguentz Dort,Oklahoma City,"$18,222,222","$18,222,222",GUARANTEED,"$18,222,222",$0,TEAM OPT,,,,,,,,,,,,,"$35,222,222"
Alex Caruso,Oklahoma City,"$18,102,100","$18,102,100",GUARANTEED,"$19,550,160","$19,550,160",GUARANTEED,"$20,998,320","$20,998,320",GUARANTEED,"$22,446,480","$22,446,480",GUARANTEED,,,,,,,"$90,987,060"
Chet Holmgren,Oklahoma City,"$13,731,368","$13,731,368",GUARANTEED,"$41,250,000","$41,250,000",GUARANTEED,"$44,550,000","$44,550,000",GUARANTEED,"$47,850,000","$47,850,000",GUARANTEED,"$51,150,000","$51,150,000",GUARANTEED,"$54,450,000","$54,450,000",PLAYER OPT,"$263,862,008"
Isaiah Joe,Oklahoma City,"$12,362,338","$12,362,338",GUARANTEED,"$11,323,006","$11,323,006",GUARANTEED,"$11,323,006",$0,TEAM OPT,,,,,,,,,,"$36,676,994"
Aaron Wiggins,Oklahoma City,"$10,102,803","$10,102,803",GUARANTEED,"$9,224,300","$9,224,300",GUARANTEED,"$8,345,797","$8,345,797",GUARANTEED,"$8,345,797",$0,TEAM OPT,,,,,,,"$38,186,917"
Jaylin Williams,Oklahoma City,"$8,450,704","$8,450,704",GUARANTEED,"$7,774,648","$7,774,648",GUARANTEED,"$7,774,648",$0,TEAM OPT,,,,,,,,,,"$18,245,051"
Kenrich Williams,Oklahoma City,"$7,163,000","$7,163,000",GUARANTEED,"$7,163,000",$0,TEAM OPT,,,,,,,,,,,,,"$13,832,000"
Jalen Williams,Oklahoma City,"$6,580,997","$6,580,997",GUARANTEED,"$41,250,000","$41,250,000",GUARANTEED,"$44,550,000","$44,550,000",GUARANTEED,"$47,850,000","$47,850,000",GUARANTEED,"$51,150,000","$51,150,000",GUARANTEED,"$54,450,000","$54,450,000",PLAYER OPT,"$250,606,757"
Cason Wallace,Oklahoma City,"$5,820,240","$5,820,240",GUARANTEED,"$7,420,806","$7,420,806",GUARANTEED,,,,,,,,,,,,,"$18,796,926"
Nikola Topic,Oklahoma City,"$5,182,920","$5,182,920",GUARANTEED,"$5,429,760","$5,429,760",GUARANTEED,"$7,482,209",$0,TEAM OPT,,,,,,,,,,"$15,548,640"
Thomas Sorber,Oklahoma City,"$4,655,040","$4,655,040",GUARANTEED,"$4,887,720","$4,887,720",GUARANTEED,"$5,120,400",$0,TEAM OPT,"$7,849,573",$0,TEAM OPT,,,,,,,"$9,542,760"
Jared McCain,Oklahoma City,"$4,221,360","$4,221,360",GUARANTEED,"$4,422,600","$4,422,600",GUARANTEED,"$6,784,268",$0,TEAM OPT,,,,,,,,,,"$12,664,320"
Ajay Mitchell,Oklahoma City,"$3,000,000","$3,000,000",GUARANTEED,"$2,850,000","$1,500,000",PARTIAL G,"$2,850,000",$0,TEAM OPT,,,,,,,,,,"$7,500,000"
Branden Carlson,Oklahoma City,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Brooks Barnhizer,Oklahoma City,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Buddy Boeheim,Oklahoma City,"$212,331",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Franz Wagner,Orlando,"$38,661,750","$38,661,750",GUARANTEED,"$41,754,636","$41,754,636",GUARANTEED,"$44,847,572","$44,847,572",GUARANTEED,"$47,940,508","$47,940,508",GUARANTEED,"$51,033,444","$51,033,444",GUARANTEED,,,,"$231,245,002"
Desmond Bane,Orlando,"$36,725,670","$36,725,670",GUARANTEED,"$39,446,090","$39,446,090",GUARANTEED,"$42,166,510","$42,166,510",GUARANTEED,"$44,886,930","$44,886,930",GUARANTEED,,,,,,,"$197,230,450"
Jalen Suggs,Orlando,"$35,000,000","$35,000,000",GUARANTEED,"$32,400,000","$32,400,000",GUARANTEED,"$29,600,000","$29,600,000",GUARANTEED,"$26,800,000","$26,800,000",GUARANTEED,"$26,700,000","$26,700,000",GUARANTEED,,,,"$159,688,385"
Paolo Banchero,Orlando,"$15,334,769","$15,334,769",GUARANTEED,"$41,250,000","$41,250,000",GUARANTEED,"$44,550,000","$44,550,000",GUARANTEED,"$47,850,000","$47,850,000",GUARANTEED,"$51,150,000","$51,150,000",GUARANTEED,"$54,450,000","$54,450,000",PLAYER OPT,"$266,745,569"
Jonathan Isaac,Orlando,"$15,000,000","$15,000,000",GUARANTEED,"$14,500,000","$8,000,000",PARTIAL G,"$14,500,000",$0,NOT G,"$15,000,000",$0,NOT G,,,,,,,"$50,600,000"
Wendell Carter Jr,Orlando,"$10,850,000","$10,850,000",GUARANTEED,"$18,102,000","$18,102,000",GUARANTEED,"$19,550,160","$19,550,160",GUARANTEED,"$20,998,320",$0,TEAM OPT,,,,,,,"$60,452,160"
Goga Bitadze,Orlando,"$8,333,333","$8,333,333",GUARANTEED,"$7,608,696","$7,608,696",GUARANTEED,,,,,,,,,,,,,"$25,000,000"
Anthony Black,Orlando,"$7,970,280","$7,970,280",GUARANTEED,"$10,106,315","$10,106,315",GUARANTEED,,,,,,,,,,,,,"$25,684,355"
Jett Howard,Orlando,"$5,529,720","$5,529,720",GUARANTEED,,,,,,,,,,,,,,,,"$10,808,040"
Moritz Wagner,Orlando,"$5,000,000","$5,000,000",GUARANTEED,,,,,,,,,,,,,,,,"$16,000,000"
Tristan Da Silva,Orlando,"$3,809,520","$3,809,520",GUARANTEED,"$3,991,200","$3,991,200",GUARANTEED,"$6,138,466",$0,TEAM OPT,,,,,,,,,,"$11,429,160"
Jase Richardson,Orlando,"$2,983,320","$2,983,320",GUARANTEED,"$3,132,360","$3,132,360",GUARANTEED,"$3,282,000",$0,TEAM OPT,"$5,910,882",$0,TEAM OPT,,,,,,,"$6,115,680"
Noah Penda,Orlando,"$1,272,870","$1,272,870",GUARANTEED,"$2,150,917","$2,150,917",GUARANTEED,"$2,525,901",$0,NOT G,"$2,735,698",$0,TEAM OPT,,,,,,,"$3,423,787"
Jevon Carter,Orlando,"$1,168,625","$871,000",GUARANTEED,,,,,,,,,,,,,,,,"$7,668,625"
Colin Castleton,Orlando,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,"$100,000"
Jamal Cain,Orlando,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Alex Morales,Orlando,"$176,943",$0,TWO-WAY,"$679,042",$0,TWO-WAY,,,,,,,,,,,,,$0
Joel Embiid,Philadelphia,"$55,224,526","$55,224,526",GUARANTEED,"$59,539,200","$59,539,200",GUARANTEED,"$64,302,336","$64,302,336",GUARANTEED,"$69,065,472","$69,065,472",PLAYER OPT,,,,,,,"$299,547,472"
Paul George,Philadelphia,"$51,666,090","$51,666,090",GUARANTEED,"$54,126,380","$54,126,380",GUARANTEED,"$56,586,670","$56,586,670",PLAYER OPT,,,,,,,,,,"$211,584,940"
Tyrese Maxey,Philadelphia,"$37,958,760","$37,958,760",GUARANTEED,"$40,770,520","$40,770,520",GUARANTEED,"$43,582,280","$43,582,280",GUARANTEED,"$46,394,040","$46,394,040",GUARANTEED,,,,,,,"$203,852,600"
VJ Edgecombe,Philadelphia,"$11,108,880","$11,108,880",GUARANTEED,"$11,663,880","$11,663,880",GUARANTEED,"$12,219,840",$0,TEAM OPT,"$15,445,878",$0,TEAM OPT,,,,,,,"$22,772,760"
Quentin Grimes,Philadelphia,"$8,741,210","$8,741,210",GUARANTEED,,,,,,,,,,,,,,,,"$13,037,892"
Kelly Oubre,Philadelphia,"$8,382,150","$8,382,150",GUARANTEED,,,,,,,,,,,,,,,,"$16,365,150"
Andre Drummond,Philadelphia,"$5,000,000","$5,000,000",GUARANTEED,,,,,,,,,,,,,,,,"$10,000,000"
Kyle Lowry,Philadelphia,"$3,634,153","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$6,937,924"
Dominick Barlow,Philadelphia,"$3,415,000","$3,415,000",GUARANTEED,"$3,415,000",0,TEAM OPT,,,,,,,,,,,,,"$3,906,887"
Trendon Watford,Philadelphia,"$2,461,463","$2,461,463",GUARANTEED,"$2,801,346",$0,TEAM OPT,,,,,,,,,,,,,"$5,188,066"
Justin Edwards,Philadelphia,"$2,048,494","$2,048,494",GUARANTEED,"$2,411,090","$2,411,090",GUARANTEED,"$2,616,754",$0,TEAM OPT,,,,,,,,,,"$4,885,203"
Adem Bona,Philadelphia,"$1,955,377","$1,955,377",GUARANTEED,"$2,296,271",$0,NOT G,"$2,486,995",$0,TEAM OPT,,,,,,,,,,"$3,112,530"
Johni Broome,Philadelphia,"$1,272,870","$1,272,870",GUARANTEED,"$2,150,917","$2,150,917",GUARANTEED,"$2,525,901",$0,NOT G,"$2,735,698",$0,TEAM OPT,,,,,,,"$3,423,787"
Cameron Payne,Philadelphia,"$1,127,841","$712,637",GUARANTEED,,,,,,,,,,,,,,,,"$4,131,268"
Jabari Walker,Philadelphia,"$724,598","$724,598",GUARANTEED,"$2,584,539","$250,000",PARTIAL G,,,,,,,,,,,,,"$2,994,297"
MarJon Beauchamp,Philadelphia,"$347,451",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Dalen Terry,Philadelphia,"$199,463",$0,TWO-WAY,,,,,,,,,,,,,,,,"$3,510,480"
Tyrese Martin,Philadelphia,"$170,508",$0,TWO-WAY,,,,,,,,,,,,,,,,"$635,853"
Devin Booker,Phoenix,"$53,142,264","$53,142,264",GUARANTEED,"$57,078,728","$57,078,728",GUARANTEED,"$61,015,192","$61,015,192",GUARANTEED,"$69,877,500","$69,877,500",GUARANTEED,"$75,467,700","$75,467,700",GUARANTEED,,,,"$365,787,184"
Jalen Green,Phoenix,"$33,584,499","$33,584,499",GUARANTEED,"$36,251,166","$36,251,166",GUARANTEED,"$36,000,000","$36,000,000",PLAYER OPT,,,,,,,,,,"$118,318,713"
Dillon Brooks,Phoenix,"$21,124,110","$21,124,110",GUARANTEED,"$19,992,727","$19,992,727",GUARANTEED,,,,,,,,,,,,,"$64,372,330"
Grayson Allen,Phoenix,"$16,875,000","$16,875,000",GUARANTEED,"$18,125,000","$18,125,000",GUARANTEED,"$19,375,000","$19,375,000",PLAYER OPT,,,,,,,,,,"$70,000,000"
Royce O'Neale,Phoenix,"$10,125,000","$10,125,000",GUARANTEED,"$10,875,000","$10,875,000",GUARANTEED,"$11,625,000","$11,625,000",GUARANTEED,,,,,,,,,,"$42,000,000"
Mark Williams,Phoenix,"$6,276,531","$6,276,531",GUARANTEED,,,,,,,,,,,,,,,,"$10,370,811"
Khaman Maluach,Phoenix,"$6,016,080","$6,016,080",GUARANTEED,"$6,316,680","$6,316,680",GUARANTEED,"$6,617,160",$0,TEAM OPT,"$8,436,879",$0,TEAM OPT,,,,,,,"$12,332,760"
Amir Coffey,Phoenix,"$2,874,436","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$6,812,707"
Cole Anthony,Phoenix,"$2,667,947","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$15,567,947"
Ryan Dunn,Phoenix,"$2,657,760","$2,657,760",GUARANTEED,"$2,784,240","$2,784,240",GUARANTEED,"$5,025,553",$0,TEAM OPT,,,,,,,,,,"$7,972,800"
Collin Gillespie,Phoenix,"$2,378,870","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$2,378,870"
Jordan Goodwin,Phoenix,"$2,349,578","$2,349,578",GUARANTEED,,,,,,,,,,,,,,,,"$2,573,296"
Oso Ighodaro,Phoenix,"$1,955,377","$1,955,377",GUARANTEED,"$2,296,271","$250,000",PARTIAL G,"$2,486,995",$0,TEAM OPT,,,,,,,,,,"$3,362,530"
Rasheer Fleming,Phoenix,"$1,272,870","$1,272,870",GUARANTEED,"$2,150,917","$2,150,917",GUARANTEED,"$2,525,901","$2,150,917",GUARANTEED,"$2,735,698",$0,TEAM OPT,,,,,,,"$5,949,688"
Haywood Highsmith,Phoenix,"$827,984","$827,984",GUARANTEED,"$3,018,158","$1,000,000",PARTIAL G,,,,,,,,,,,,,"$7,027,984"
Isaiah Livers,Phoenix,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Koby Brea,Phoenix,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Jamaree Bouyea,Phoenix,"$469,702",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Jrue Holiday,Portland,"$32,400,000","$32,400,000",GUARANTEED,"$34,800,000","$34,800,000",GUARANTEED,"$37,200,000","$37,200,000",PLAYER OPT,,,,,,,,,,"$134,400,000"
Jerami Grant,Portland,"$32,000,001","$32,000,001",GUARANTEED,"$34,206,898","$34,206,898",GUARANTEED,"$36,413,790","$36,413,790",PLAYER OPT,,,,,,,,,,"$132,413,793"
Deni Avdija,Portland,"$14,375,000","$14,375,000",GUARANTEED,"$13,125,000","$13,125,000",GUARANTEED,"$11,875,000","$11,875,000",GUARANTEED,,,,,,,,,,"$55,000,000"
Damian Lillard,Portland,"$14,104,000","$14,104,000",GUARANTEED,"$13,398,800","$13,398,800",GUARANTEED,"$14,104,000","$14,104,000",PLAYER OPT,,,,,,,,,,"$90,394,476"
Robert Williams,Portland,"$13,285,713","$13,285,713",GUARANTEED,,,,,,,,,,,,,,,,"$25,714,284"
Matisse Thybulle,Portland,"$11,550,000","$11,550,000",GUARANTEED,,,,,,,,,,,,,,,,"$22,575,000"
Scoot Henderson,Portland,"$10,748,040","$10,748,040",GUARANTEED,"$13,585,523","$13,585,523",GUARANTEED,,,,,,,,,,,,,"$34,592,723"
Shaedon Sharpe,Portland,"$8,399,983","$8,399,983",GUARANTEED,"$20,089,286","$20,089,286",GUARANTEED,"$21,696,429","$21,696,429",GUARANTEED,"$23,303,571","$23,303,571",GUARANTEED,"$24,910,714","$24,910,714",GUARANTEED,,,,"$105,014,143"
Donovan Clingan,Portland,"$7,178,400","$7,178,400",GUARANTEED,"$7,519,920","$7,519,920",GUARANTEED,"$9,550,298",$0,TEAM OPT,,,,,,,,,,"$21,534,720"
Yang Hansen,Portland,"$4,422,360","$4,422,360",GUARANTEED,"$4,643,520","$4,643,520",GUARANTEED,"$4,864,920",$0,TEAM OPT,"$7,462,787",$0,TEAM OPT,,,,,,,"$9,065,880"
Kris Murray,Portland,"$3,132,000","$3,132,000",GUARANTEED,"$5,315,004","$5,315,004",GUARANTEED,,,,,,,,,,,,,"$11,437,044"
Blake Wesley,Portland,"$2,378,870","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$5,003,150"
Vit Krejci,Portland,"$2,349,578","$2,349,578",GUARANTEED,"$2,667,944",$0,NOT G,"$3,005,085",$0,TEAM OPT,,,,,,,,,,"$4,512,184"
Toumani Camara,Portland,"$2,221,677","$2,221,677",GUARANTEED,"$18,080,358","$18,080,358",GUARANTEED,"$19,526,786","$19,526,786",GUARANTEED,"$20,973,214","$20,973,214",GUARANTEED,"$22,419,642","$22,419,642",GUARANTEED,,,,"$85,113,534"
Sidy Cissoko,Portland,"$686,243","$686,243",GUARANTEED,"$2,497,812",$0,NOT G,,,,,,,,,,,,,"$686,243"
Caleb Love,Portland,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Javonte Cooke,Portland,"$636,435",$0,TWO-WAY,"$679,042",$0,TWO-WAY,,,,,,,,,,,,,$0
Zach LaVine,Sacramento,"$47,499,660","$47,499,660",GUARANTEED,"$48,967,380","$48,967,380",PLAYER OPT,,,,,,,,,,,,,"$140,998,980"
Domantas Sabonis,Sacramento,"$42,336,000","$42,336,000",GUARANTEED,"$45,472,000","$45,472,000",GUARANTEED,"$48,608,000","$48,608,000",GUARANTEED,,,,,,,,,,"$175,616,000"
DeMar DeRozan,Sacramento,"$24,570,000","$24,570,000",GUARANTEED,"$25,740,000","$10,000,000",PARTIAL G,,,,,,,,,,,,,"$57,970,000"
De'Andre Hunter,Sacramento,"$23,303,571","$23,303,571",GUARANTEED,"$24,910,714","$24,910,714",GUARANTEED,,,,,,,,,,,,,"$69,910,714"
Malik Monk,Sacramento,"$18,797,619","$18,797,619",GUARANTEED,"$20,190,035","$20,190,035",GUARANTEED,"$21,582,451","$21,582,451",PLAYER OPT,,,,,,,,,,"$77,975,308"
Keegan Murray,Sacramento,"$11,144,093","$11,144,093",GUARANTEED,"$24,137,936","$24,137,936",GUARANTEED,"$26,068,965","$26,068,965",GUARANTEED,"$27,999,999","$27,999,999",GUARANTEED,"$29,931,033","$29,931,033",GUARANTEED,"$31,862,067","$31,862,067",GUARANTEEED,"$159,953,653"
Devin Carter,Sacramento,"$4,923,720","$4,923,720",GUARANTEED,"$5,158,080","$5,158,080",GUARANTEED,"$7,370,896",$0,TEAM OPT,,,,,,,,,,"$14,770,800"
Russell Westbrook,Sacramento,"$3,634,153","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$6,937,924"
Doug McDermott,Sacramento,"$3,634,153","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$6,937,924"
Nique Clifford,Sacramento,"$3,108,120","$3,108,120",GUARANTEED,"$3,263,400","$3,263,400",GUARANTEED,"$3,418,800",$0,TEAM OPT,"$5,979,481",$0,TEAM OPT,,,,,,,"$6,371,520"
Drew Eubanks,Sacramento,"$3,080,921","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$8,080,921"
Precious Achiuwa,Sacramento,"$2,453,285","$2,111,516",GUARANTEED,,,,,,,,,,,,,,,,"$8,453,285"
Maxime Raynaud,Sacramento,"$1,272,870","$1,272,870",GUARANTEED,"$2,150,917","$2,150,917",GUARANTEED,"$2,525,901",$0,TEAM OPT,,,,,,,,,,"$3,423,787"
Dylan Cardwell,Sacramento,"$871,000","$871,000",GUARANTEED,"$2,150,917","$2,150,917",GUARANTEED,"$2,525,901",$0,NOT G,"$2,735,698",$0,TEAM OPT,,,,,,,"$3,021,917"
Daeqwon Plowden,Sacramento,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Isaiah Stevens,Sacramento,"$636,435",$0,TWO-WAY,"$679,042",$0,TWO-WAY,,,,,,,,,,,,,$0
Patrick Baldwin,Sacramento,"$160,857",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Killian Hayes,Sacramento,"$153,330","$131,970",10-DAY,,,,,,,,,,,,,,,,"$131,970"
De'Aaron Fox,San Antonio,"$37,096,620","$37,096,620",GUARANTEED,"$51,033,600","$51,033,600",GUARANTEED,"$55,116,288","$55,116,288",GUARANTEED,"$59,198,976","$59,198,976",GUARANTEED,"$63,281,664","$63,281,664",GUARANTEED,,,,"$300,575,488"
Devin Vassell,San Antonio,"$27,000,000","$27,000,000",GUARANTEED,"$27,000,000","$27,000,000",GUARANTEED,"$24,652,174","$24,652,174",GUARANTEED,"$27,000,000","$27,000,000",GUARANTEED,,,,,,,"$135,000,000"
Harrison Barnes,San Antonio,"$19,000,000","$19,000,000",GUARANTEED,,,,,,,,,,,,,,,,"$37,000,000"
Keldon Johnson,San Antonio,"$17,500,000","$17,500,000",GUARANTEED,"$17,500,000","$17,500,000",GUARANTEED,,,,,,,,,,,,,"$54,000,000"
Kelly Olynyk,San Antonio,"$13,445,122","$13,445,122",GUARANTEED,,,,,,,,,,,,,,,,"$26,250,000"
Victor Wembanyama,San Antonio,"$13,376,880","$13,376,880",GUARANTEED,"$16,868,246","$16,868,246",GUARANTEED,,,,,,,,,,,,,"$43,014,086"
Dylan Harper,San Antonio,"$12,370,320","$12,370,320",GUARANTEED,"$12,989,040","$12,989,040",GUARANTEED,"$13,607,760",$0,TEAM OPT,"$17,172,993",$0,TEAM OPT,,,,,,,"$25,359,360"
Luke Kornet,San Antonio,"$11,000,000","$11,000,000",GUARANTEED,"$10,450,000","$10,450,000",GUARANTEED,"$9,900,000","$2,550,000",PARTIAL G,"$9,350,000","$9,350,000",GUARANTEED,,,,,,,"$36,150,834"
Stephon Castle,San Antonio,"$9,560,520","$9,560,520",GUARANTEED,"$10,015,920","$10,015,920",GUARANTEED,"$12,670,139",$0,TEAM OPT,,,,,,,,,,"$28,681,560"
Carter Bryant,San Antonio,"$4,900,320","$4,900,320",GUARANTEED,"$5,145,360","$5,145,360",GUARANTEED,"$5,390,640",$0,TEAM OPT,"$7,983,538",$0,TEAM OPT,,,,,,,"$10,045,680"
Bismack Biyombo,San Antonio,"$3,634,153","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$4,431,615"
Julian Champagnie,San Antonio,"$3,000,000","$3,000,000",GUARANTEED,"$3,000,000",$0,TEAM OPT,,,,,,,,,,,,,"$6,000,000"
Jordan McLaughlin,San Antonio,"$2,874,436","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$5,299,839"
Lindy Waters III,San Antonio,"$2,461,463","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$4,658,433"
David Jones,San Antonio,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Harrison Ingram,San Antonio,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Mason Plumlee,San Antonio,"$208,859","$131,970",10-DAY,,,,,,,,,,,,,,,,"$3,435,741"
Emanuel Miller,San Antonio,"$157,640",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Scottie Barnes,Toronto,"$38,661,750","$38,661,750",GUARANTEED,"$41,754,690","$41,754,690",GUARANTEED,"$44,847,630","$44,847,630",GUARANTEED,"$47,940,570","$47,940,570",GUARANTEED,"$51,033,444","$51,033,444",GUARANTEED,,,,"$234,369,064"
Brandon Ingram,Toronto,"$38,095,238","$38,095,238",GUARANTEED,"$40,000,000","$40,000,000",GUARANTEED,"$41,904,762","$41,904,762",PLAYER OPT,,,,,,,,,,"$156,016,200"
Immanuel Quickley,Toronto,"$32,500,000","$32,500,000",GUARANTEED,"$32,500,000","$32,500,000",GUARANTEED,"$32,500,000","$32,500,000",GUARANTEED,"$32,500,000","$32,500,000",GUARANTEED,,,,,,,"$162,500,000"
RJ Barrett,Toronto,"$27,705,357","$27,705,357",GUARANTEED,"$29,616,071","$29,616,071",GUARANTEED,,,,,,,,,,,,,"$83,116,071"
Jakob Poeltl,Toronto,"$19,500,000","$19,500,000",GUARANTEED,"$19,500,000","$19,500,000",GUARANTEED,"$27,300,000","$27,300,000",GUARANTEED,"$29,484,000","$29,484,000",GUARANTEED,"$29,484,000","$5,000,000",PARTIAL G,,,,"$120,284,000"
Collin Murray-Boyles,Toronto,"$6,332,520","$6,332,520",GUARANTEED,"$6,649,560","$6,649,560",GUARANTEED,"$6,966,000",$0,TEAM OPT,"$8,874,684",$0,TEAM OPT,,,,,,,"$12,982,080"
Gradey Dick,Toronto,"$4,990,560","$4,990,560",GUARANTEED,"$7,131,510","$7,131,510",GUARANTEED,,,,,,,,,,,,,"$16,885,830"
Ja'Kobe Walter,Toronto,"$3,638,160","$3,638,160",GUARANTEED,"$3,811,800","$3,811,800",GUARANTEED,"$5,870,172",$0,TEAM OPT,,,,,,,,,,"$10,914,960"
Garrett Temple,Toronto,"$3,634,153","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$6,937,924"
Sandro Mamukelashvili,Toronto,"$2,461,463","$2,461,463",GUARANTEED,"$2,801,346","$2,801,346",PLAYER OPT,,,,,,,,,,,,,"$7,425,415"
Trayce Jackson-Davis,Toronto,"$2,221,677","$2,221,677",GUARANTEED,"$2,406,205",$0,TEAM OPT,,,,,,,,,,,,,"$4,113,534"
Jamal Shead,Toronto,"$1,955,377","$1,955,377",GUARANTEED,"$2,296,271",$0,NOT G,,,,,,,,,,,,,"$3,817,642"
Jamison Battle,Toronto,"$1,955,377","$1,955,377",GUARANTEED,"$2,296,271",$0,NOT G,,,,,,,,,,,,,"$2,955,377"
Jonathan Mogbo,Toronto,"$1,955,377","$1,955,377",GUARANTEED,"$2,296,271",$0,TEAM OPT,,,,,,,,,,,,,"$3,817,642"
AJ Lawson,Toronto,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,"$100,000"
Alijah Martin,Toronto,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Chucky Hepburn,Toronto,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Lauri Markkanen,Utah,"$46,394,100","$46,394,100",GUARANTEED,"$46,113,154","$46,113,154",GUARANTEED,"$49,824,681","$49,824,681",GUARANTEED,"$53,536,209","$53,536,209",GUARANTEED,,,,,,,"$238,044,544"
